name,tourism,county,subcounty,constituency
Shimba Hills Reserve,nature,Kwale,,
Sabaki River Estuary,nature,Malindi,,
Turkwel Gorge,canyon,Lodwar,,
Marafa Depression,nature,Malindi,,
Mt. Elgon Caves,mountain,Bungoma,,
Rusinga Island,island,Homabay,,
Samburu National Reserve,wildlife,Samburu,,
Kisite-Mpunguti Marine National Park,wildlife,Mombasa,,
Lamu Archipelago,island,Lamu,,
Mara River,nature,Narok,,
Aberdare National Park,wildlife,Nyeri,,
Gedi Ruins,cultural,Malindi,,
Tana River Delta,nature,Tana River,,
Ruma National Park,wildlife,Homa Bay,,
Mombasa Old Town,Historical_Town,Mombasa,,
